223.91.0.233 - - [08/Oct/2021:04:34:57 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:04:34:58 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:04:34:59 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
223.91.0.233 - - [08/Oct/2021:04:35:01 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
186.33.81.234 - - [08/Oct/2021:04:50:17 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
209.141.56.212 - - [08/Oct/2021:05:12:24 +0300] "GET /config/getuser?index=0 HTTP/1.1" 301 178 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
3.250.71.225 - - [08/Oct/2021:05:14:17 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
3.250.71.225 - - [08/Oct/2021:05:14:17 +0300] "GET / HTTP/1.1" 200 20536 "http://94.130.163.7" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:81.0) Gecko/20100101 Firefox/81.0"
103.149.192.46 - - [08/Oct/2021:05:19:44 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
103.149.192.212 - - [08/Oct/2021:05:19:44 +0300] "GET / HTTP/1.1" 200 20535 "https://94.130.163.7/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
178.184.167.230 - - [08/Oct/2021:05:22:37 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
